T26,Population employed in research and development (R&D),,,,,
275,State of Palestine,2013,R & D personnel: Total (number in full-time equivalent),"5,161",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
275,State of Palestine,2013,R & D personnel: Researchers - total (number in full-time equivalent),"2,492",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
275,State of Palestine,2013,R & D personnel: Technicians - total (number in full-time equivalent),772,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
275,State of Palestine,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,483",Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
736,Sudan [former],2005,R & D personnel: Total (number in full-time equivalent),"23,726",Estimate.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
736,Sudan [former],2005,R & D personnel: Researchers - total (number in full-time equivalent),"11,208",Estimate.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
736,Sudan [former],2005,R & D personnel: Researchers - women (number in full-time equivalent),"4,483",Estimate.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
736,Sudan [former],2005,R & D personnel: Technicians - total (number in full-time equivalent),"5,569",Estimate.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
736,Sudan [former],2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,949",Estimate.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2005,R & D personnel: Total (number in full-time equivalent),"77,557",Break in the time series.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2005,R & D personnel: Researchers - total (number in full-time equivalent),"55,001",Break in the time series.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2005,R & D personnel: Researchers - women (number in full-time equivalent),"15,960",Break in the time series.;Underestimated or based on underestimated data.;University graduates instead of researchers.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2009,R & D personnel: Total (number in full-time equivalent),"77,363",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2009,R & D personnel: Researchers - total (number in full-time equivalent),"47,308",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2009,R & D personnel: Researchers - women (number in full-time equivalent),"14,080",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2009,R & D personnel: Technicians - total (number in full-time equivalent),"19,686",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2009,R & D personnel: Technicians - women (number in full-time equivalent),"4,849",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"10,369",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2009,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,817",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2010,R & D personnel: Total (number in full-time equivalent),"77,418",Estimate.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2010,R & D personnel: Researchers - total (number in full-time equivalent),"49,312",Estimate.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2011,R & D personnel: Total (number in full-time equivalent),"78,445",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2011,R & D personnel: Researchers - total (number in full-time equivalent),"48,702",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2011,R & D personnel: Researchers - women (number in full-time equivalent),"14,721",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2011,R & D personnel: Technicians - total (number in full-time equivalent),"19,194",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2011,R & D personnel: Technicians - women (number in full-time equivalent),"4,860",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),"10,551",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,941",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2013,R & D personnel: Total (number in full-time equivalent),"80,957",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2013,R & D personnel: Researchers - total (number in full-time equivalent),"64,194",Break in the time series.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2013,R & D personnel: Researchers - women (number in full-time equivalent),"17,989",Break in the time series.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2015,R & D personnel: Total (number in full-time equivalent),"84,523",Estimate.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
752,Sweden,2015,R & D personnel: Researchers - total (number in full-time equivalent),"68,670",Estimate.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2004,R & D personnel: Total (number in full-time equivalent),"52,250",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2004,R & D personnel: Researchers - total (number in full-time equivalent),"25,400",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2004,R & D personnel: Technicians - total (number in full-time equivalent),"17,130",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,720",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2008,R & D personnel: Total (number in full-time equivalent),"62,066",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2008,R & D personnel: Researchers - total (number in full-time equivalent),"25,142",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2008,R & D personnel: Technicians - total (number in full-time equivalent),"21,763",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),"15,161",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2012,R & D personnel: Total (number in full-time equivalent),"75,476",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2012,R & D personnel: Researchers - total (number in full-time equivalent),"35,950",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2012,R & D personnel: Technicians - total (number in full-time equivalent),"22,179",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
756,Switzerland,2012,R & D personnel: Other supporting staff - total (number in full-time equivalent),"17,347",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2004,R & D personnel: Total (number in full-time equivalent),"2,487",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2004,R & D personnel: Researchers - total (number in full-time equivalent),"1,548",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2004,R & D personnel: Researchers - women (number in full-time equivalent),407,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2004,R & D personnel: Technicians - total (number in full-time equivalent),247,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),692,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2005,R & D personnel: Total (number in full-time equivalent),"3,220",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,993",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2005,R & D personnel: Technicians - total (number in full-time equivalent),324,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),903,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2006,R & D personnel: Total (number in full-time equivalent),"3,110",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2006,R & D personnel: Researchers - total (number in full-time equivalent),"1,895",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2006,R & D personnel: Researchers - women (number in full-time equivalent),735,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2006,R & D personnel: Technicians - total (number in full-time equivalent),202,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2006,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,013",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2010,R & D personnel: Total (number in full-time equivalent),"2,827",Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,802",Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2010,R & D personnel: Technicians - total (number in full-time equivalent),329,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),427,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2015,R & D personnel: Total (number in full-time equivalent),"3,704",Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2015,R & D personnel: Researchers - total (number in full-time equivalent),"2,467",Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2015,R & D personnel: Researchers - women (number in full-time equivalent),886,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2015,R & D personnel: Technicians - total (number in full-time equivalent),410,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2015,R & D personnel: Technicians - women (number in full-time equivalent),212,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),448,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
762,Tajikistan,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),212,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2005,R & D personnel: Total (number in full-time equivalent),"36,967",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2005,R & D personnel: Researchers - total (number in full-time equivalent),"20,506",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2005,R & D personnel: Researchers - women (number in full-time equivalent),"10,241",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2005,R & D personnel: Technicians - total (number in full-time equivalent),"10,520",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,941",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2009,R & D personnel: Total (number in full-time equivalent),"60,344",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2009,R & D personnel: Researchers - total (number in full-time equivalent),"22,000",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2009,R & D personnel: Researchers - women (number in full-time equivalent),"11,064",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2009,R & D personnel: Technicians - total (number in full-time equivalent),"15,036",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"23,308",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2015,R & D personnel: Total (number in full-time equivalent),"89,617",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2015,R & D personnel: Researchers - total (number in full-time equivalent),"59,416",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2015,R & D personnel: Researchers - women (number in full-time equivalent),"16,577",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2015,R & D personnel: Technicians - total (number in full-time equivalent),"16,539",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2015,R & D personnel: Technicians - women (number in full-time equivalent),"3,950",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,701",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
764,Thailand,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,662",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2005,R & D personnel: Total (number in full-time equivalent),"1,434",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,113",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2005,R & D personnel: Researchers - women (number in full-time equivalent),576,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2005,R & D personnel: Technicians - total (number in full-time equivalent),168,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2005,R & D personnel: Technicians - women (number in full-time equivalent),94,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),153,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),81,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2010,R & D personnel: Total (number in full-time equivalent),"1,434",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,102",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2010,R & D personnel: Researchers - women (number in full-time equivalent),620,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2010,R & D personnel: Technicians - total (number in full-time equivalent),170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2010,R & D personnel: Technicians - women (number in full-time equivalent),104,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),162,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),106,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2015,R & D personnel: Total (number in full-time equivalent),"2,024",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"1,785",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2015,R & D personnel: Researchers - women (number in full-time equivalent),905,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2015,R & D personnel: Technicians - total (number in full-time equivalent),155,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2015,R & D personnel: Technicians - women (number in full-time equivalent),83,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),84,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
807,TFYR of Macedonia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),48,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2005,R & D personnel: Total (number in full-time equivalent),312,Break in the time series.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2005,R & D personnel: Researchers - total (number in full-time equivalent),186,Break in the time series.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2005,R & D personnel: Technicians - total (number in full-time equivalent),126,Break in the time series.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2010,R & D personnel: Total (number in full-time equivalent),444,Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2010,R & D personnel: Researchers - total (number in full-time equivalent),220,Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2010,R & D personnel: Researchers - women (number in full-time equivalent),21,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2010,R & D personnel: Technicians - total (number in full-time equivalent),54,Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2010,R & D personnel: Technicians - women (number in full-time equivalent),10,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
